,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,movies,,
,,,,
,,,,
,,,,
,,,,Comedy
,This Is the End (2013),,,
,Chronicle (2012),,,
,The Descent (2006),,,
,The Omen (1976),,,
,Donnie Darko: The Director's Cut (2004),,,
,Save the Green Planet (2004),,,
,Slither (2006),,,
,Ginger Snaps (2001),,,
,The Autopsy of Jane Doe (2016),,,
,A Field in England (2014),,,
,Backcountry (2015),,,
,"Goodnight Mommy (Ich seh, Ich seh) (2015)",,,
,Altered States (1980),,,
,The Thing (1982),,,
,Better Watch Out (2017),,,
,They Live (1988),,,
,The House of the Devil (2009),,,
,The Conjuring 2 (2016),,,
,The Others (2001),,,
suspense/mystery,,,,
,Citizen Kane (1941),,,
,Get Out (2017),,,
,The Third Man (1949),,,
,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),,,
,A Quiet Place (2018),,,
,Spotlight (2015),,,
,Arrival (2016),,,
,Psycho (1960),,,
,Laura (1944),,,
,The Maltese Falcon (1941),,,
,Argo (2012),,,
,Repulsion (1965),,,
,North by Northwest (1959),,,
,Rear Window (1954),,,
,Alien (1979),,,
,M (1931),,,
,Taxi Driver (1976),,,
,Touch of Evil (1958),,,
,Hell or High Water (2016),,,
,The Babadook (2014),,,
,Vertigo (1958),,,
,Rebecca (1940),,,
,The Night of the Hunter (1955),,,
,Rosemary's Baby (1968),,,
,Rash̫mon (1951),,,
,Jaws (1975),,,
,The Wages of Fear (1953),,,
,L.A. Confidential (1997),,,
,Harry Potter and the Deathly Hallows - Part 2 (2011),,,
,The Big Sleep (1946),,,
,The Lady Vanishes (1938),,,
,High Noon (1952),,,
,Skyfall (2012),,,
,"The Godfather, Part II (1974)",,,
,Chinatown (1974),,,
,The Post (2018),,,
,Anatomy of a Murder (1959),,,
,Invasion of the Body Snatchers (1956),,,
,Nightcrawler (2014),,,
,Strangers on a Train (1951),,,
,The 39 Steps (1935),,,
,The Salesman (Forushande) (2017),,,
,Badlands (1974),,,
,The Manchurian Candidate (1962),,,
,Eyes Without a Face (1962),,,
,Freaks (1932),,,
,The Conversation (1974),,,
,The Silence of the Lambs (1991),,,
,Forbidden Planet (1956),,,
,101 Dalmatians (1961),,,
,Goldfinger (1964),,,
,Le Cercle Rouge (1970),,,
,Sunrise: A Song of Two Humans (1927),,,
,Casino Royale (2006),,,
,Eye In The Sky (2016),,,
,All Is Lost (2013),,,
,The Guilty (Den skyldige) (2018),,,
,Blood Simple (1984),,,
,Peeping Tom (1960),,,
,Assault on Precinct 13 (1976),,,
,No Country for Old Men (2007),,,
,Looper (2012),,,
,The Birds (1963),,,
,Halloween (1978),,,
,The Fugitive (1993),,,
,Bridge of Spies (2015),,,
,Mad Max 2: The Road Warrior (1982),,,
,Searching (2018),,,
,Mandy (2018),,,
,Who Framed Roger Rabbit (1988),,,
,Close Encounters of the Third Kind (1977),,,
,Diva (1981),,,
,Dr. No (1962),,,
,Ex Machina (2015),,,
,Sicario (2015),,,
,Jurassic Park (1993),,,
,Don't Look Now (1973),,,
,10 Cloverfield Lane (2016),,,
,In the Line of Fire (1993),,,
,From Russia With Love (1964),,,
,The Vanishing (Spoorloos) (1988),,,
,Elevator to the Gallows (Ascenseur pour l'̩chafaud) (1958),,,
,In the Heat of the Night (1967),,,
,Wake in Fright (2012),,,
,Three Colors: Blue (Trois Couleurs: Bleu) (1993),,,
,Blue Ruin (2014),,,
,The Cabin in the Woods (2012),,,
,The Killer (1989),,,
,The Bourne Ultimatum (2007),,,
,To Catch a Thief (1955),,,
,Gone Girl (2014),,,
,The Imitation Game (2014),,,
,Blue Velvet (1986),,,
,L'Avventura (1960),,,
,Diabolique (Les Diaboliques) (1955),,,
,A Girl Walks Home Alone at Night (2014),,,
,Children of Men (2006),,,
,Wild Tales (2015),,,
,You Were Never Really Here (2018),,,
,Drag Me to Hell (2009),,,
romance,,,,
,It Happened One Night (1934),,,
,Casablanca (1942),,,
,The Big Sick (2017),,,
,Call Me by Your Name (2018),,,
,Singin' in the Rain (1952),,,
,The Shape of Water (2017),,,
,The Adventures of Robin Hood (1938),,,
,The Philadelphia Story (1940),,,
,Vertigo (1958),,,
,On the Waterfront (1954),,,
,Roman Holiday (1953),,,
,Gone With the Wind (1939),,,
,An American in Paris (1951),,,
,Carol (2015),,,
,Before Midnight (2013),,,
,The Red Shoes (1948),,,
,The African Queen (1951),,,
,City Lights (1931),,,
,Beauty and The Beast (La Belle et la b̻te) (1946),,,
,Miracle on 34th Street (1947),,,
,Annie Hall (1977),,,
,The Artist (2011),,,
,Her (2013),,,
,Only Yesterday (1991),,,
,Gentlemen Prefer Blondes (1953),,,
,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),,,
,Beauty and the Beast (1991),,,
,Three Colors: Red (Trois couleurs: Rouge) (1994),,,
,The Princess Bride (1987),,,
,The Best Years of Our Lives (1946),,,
,Bringing Up Baby (1938),,,
,Sunrise: A Song of Two Humans (1927),,,
,The Hustler (1961),,,
,Before Sunrise (1995),,,
,Sideways (2004),,,
,The Apartment (1960),,,
,Groundhog Day (1993),,,
,Wings of Desire (1987),,,
,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),,,
,Bull Durham (1988),,,
,"Crouching Tiger, Hidden Dragon (2001)",,,
,Sense and Sensibility (1995),,,
,Lost In Translation (2003),,,
,Enough Said (2013),,,
,Titanic (1997),,,
,Slumdog Millionaire (2008),,,
,West Side Story (1961),,,
,Elevator to the Gallows (Ascenseur pour l'̩chafaud) (1958),,,
,God's Own Country (2017),,,
,Your Name. (Kimi No Na Wa.) (2017),,,
,Three Colors: Blue (Trois Couleurs: Bleu) (1993),,,
,Say Anything... (1989),,,
,To Catch a Thief (1955),,,
,Daughters of the Dust (1991),,,
,Manhattan (1979),,,
,A Girl Walks Home Alone at Night (2014),,,
,Shakespeare in Love (1998),,,
,Giant (1956),,,
,Up in the Air (2009),,,
,Eternal Sunshine Of The Spotless Mind (2004),,,
,The Lunchbox (2014),,,
,Before Sunset (2004),,,
,Dave (1993),,,
,The Town (2010),,,
,Midnight in Paris (2011),,,
,From Here to Eternity (1953),,,
,Four Weddings and a Funeral (1994),,,
,A Summer's Tale (2014),,,
,The Crying Game (1992),,,
,Enchanted (2007),,,
,Big Night (1996),,,
,Howards End (1992),,,
,Million Dollar Baby (2004),,,
,About a Boy (2002),,,
,The General (1927),,,
,Knocked Up (2007),,,
,Monsoon Wedding (2002),,,
,Masculin Feminin (1966),,,
,Hamlet (1996),,,
,Revanche (2009),,,
,To All the Boys I've Loved Before (2018),,,
,Out of Sight (1998),,,
,The Graduate (1967),,,
,The Remains of the Day (1993),,,
,Strictly Ballroom (1992),,,
,The Spectacular Now (2013),,,
,Moonstruck (1987),,,
,The Little Mermaid (1989),,,
,The Duke Of Burgundy (2015),,,
,Brief Encounter (1945),,,
,The Piano (1993),,,
,Southside With You (2016),,,
,Y Tu Mama Tambien (2001),,,
,Lone Star (1996),,,
,Hannah and Her Sisters (1986),,,
,Crazy Heart (2009),,,
,Kung Fu Hustle (2005),,,
,Open Hearts (Elsker Dig For Evigt) (2002),,,
,Obvious Child (2014),,,
,Husbands and Wives (1992),,,
fiction/scifi,,,,
,Black Panther (2018),,,
,The Wizard of Oz (1939),,,
,Mad Max: Fury Road (2015),,,
,Wonder Woman (2017),,,
,E.T. The Extra-Terrestrial (1982),,,
,Metropolis (1927),,,
,Arrival (2016),,,
